Country,Language
Afghanistan,"Dari, Farsi, Hazaragi, Pashtu"
Albania,"Albanian, Tosk, Greek"
Algeria,"Arabic, Berber Dialects, French"
Andorra,"Castilian, Catalán, French, Portuguese"
Angola,"Bantu Languages, Portuguese"
Antigua and Barbuda,"English"
Argentina,"English, French, German, Italian, Spanish"
Armenia,"Armenian, Russian"
Australia,"English"
Austria,"Croatian, German, Hungarian, Slovene"
Azerbaijan,"Armenian, Azerbaijani, Russian"
Bahamas,"Creole, English"
Bahrain,"Arabic, English, Farsi, Urdu"
Bangladesh,"Bangla, English"
Barbados,English
Belarus,"Belorussian (White Russian), Russian"
Belize,"Creole, English, Garifuna (Carib), Mayan, Spanish"
Benin,"Fon, French, Yoruba"
Bhutan,"Dzongkha, Tshangla (Sharchop), Nepali, Dzala, Kheng, Bantawa"
Bolivia,"Aymara, Quechua, Spanish"
Bosnia and Herzegovina,"Bosnian, Croatian, Serbian,Latin"
Botswana,"English, Setswana"
Brazil,"English, French, Portuguese, Spanish"
Brunei Darussalam,"Chinese, English, Malay"
Bulgaria,"Bulgarian, Secondary Ethnic Languages"
Burkina Faso,"French"
Burundi,"French, Kirundi, Swahili"
Cambodia,"English, French, Khmer"
Cameroon,"24 Major African Language Groups, English, French"
Canada,"English, French"
Cape Verde,"Criuolo, Portuguese"
Central African Republic,"Arabic, French, Hansa, Sangho, Swahili"
Chad,"Arabic, French, Sara"
Chile,Spanish
China (PRC),"Daur, Cantonese, Central Tibetan, Kalmykoirat, Lu, Peripheral Mongolian, Uyghur, , Zhuang, Chinese"
Colombia,Spanish
Comoros,"Arabic, French, Shikomoro"
"Congo, Republic of","French, Kikongo, Lingala, Monokutuba"
Congo (DRC),"French, Kikongo, Kingwana, Lingala, Tshiluba"
Costa Rica,"English, Spanish"
Côte d’Ivoire,"African Languages (Diaula Esp.), French"
Croatia,"Bosnian, Croatian, Czech, German, Hungarian, Italian, Serbian, Slovak"
Cuba,Spanish
Cyprus,"English, Greek, Turkish"
Czech Republic,Czech
Denmark,"Danish, English, Faeroese, German, Greenlandic"
Djibouti,"Afar Dominica: English, Arabic, French, French Patois, Somali"
Dominican Republic,Spanish
East Timor,"Kemak, Bahasa Indonesian, English, Galole, Mambae, Portuguese, Tetum"
Ecuador,"Amerindian Languages, Quechua, Spanish"
Egypt,"Arabic, English, French"
El Salvador,"Spanish"
Equatorial Guinea,"Bubi, Fang, French, Ibo, Pidgin English, Spanish"
Eritrea,"Afar, Arabic, Other Cushitic Languages, Tigre And Kunama, Tigrinya"
Estonia,"Estonian, Finnish, Russian, Ukrainian"
Ethiopia,"Amharic, Arabic, English, Guaragigna, Orominga, Somali, Tigrigna"
Fiji,"English, Fijian, Hindustani"
Finland,"Finnish, Russian, Small Sami (Lapp), Swedish"
France,"Alsatian, Basque, Breton, Catalan, Corsican, Flemish, French"
Gabon,"Bandjabi Gambia, Bapounou/Eschira, Bateke, Creole, Fang, French, Fula, Jola-Fonyi, Mandingo, Mandinka, Mandjaque, Maninkakan, Myene, Pulaar, Sarahole, Serer-Sine, The: English, Wolof"
Georgia,"Abkhaz, Armenian, Azerbaijani, Georgian, Russian"
Germany,German
Ghana,"Dagbani, English, Ewe, Fanti, Ga, Brong Ahafo, Twi"
Greece,"English, French, Greek"
Grenada,"English, French"
Guatemala,"Amerindian Languages, Cakchiquel, Garifuna, Quiche, Kekchi, Mam, Spanish"
Guinea,"French, Fulani, Malinké, Susu"
Guinea-Bissau,"African Languages, Criolo, Portuguese"
Guyana,"Amerindian Languages, Creole, English, Hindi, Urdu"
Haiti,"Creole, French"
Honduras,"Amerindian Languages, English, Honduras: Spanish"
Hong Kong Special Administration Region (SAR),"Cantonese, Mandarin"
Hungary,"Magyar (Hungarian)"
Iceland,"English, German, Icelandic, Nordic Languages"
India,"Assamese, Bengali, English, Gujarati, Hindi, Kannada, Kashmiri, Malayalam, Marathi, Oriya, Punjabi, Sanskrit, Sindhi, Tamil, Telugu, Urdu"
Indonesia,"Bahasa Indonesia, Dutch, English, Javanese"
Iran,"Arabic, Azari, Farsi, Kurdish"
Iraq,"Arabic, Assyrian Neo Aramaic, Kurdish"
Ireland,"English, Irish Gaelic"
Israel,"Arabic, English, Hebrew, Russian"
Italy,"French, German, Italian, Slovene"
Iran,"Arabic, Azari, Farsi, Kurdish"
Iraq,"Arabic, Assyrian Neo Aramaic, Kurdish"
Ireland,"English, Irish Gaelic"
Israel,"Arabic, English, Hebrew, Russian"
Italy,"French, German, Italian, Slovene"
Iran,"Arabic, Azari, Farsi, Kurdish"
Jamaica,"English, Creole"
Japan,Japanese
Jordan,"Arabic, English"
Kazakhstan,"Kazak (Qazaq), Russian"
Kenya,"25 Ethnic Group Languages, English, Swahili"
Kiribati,"English, I-Kiribati (Gilbertese)"
Kuwait, "Arabic, English"
"North Korea",Korean
"South Korean", Korean
Kyrgyzstan,"Kyrgyz, Russian"
Laos,"English, French, Lao"
Latvia,"Latvian, Russian"
Lebanon,"Arabic, English, French"
Lesotho,"English, Sesotho, Xhosa, Zulu"
Liberia,"English"
Libya,"Arabic, English, Italian"
Liechtenstein,"Lithuanian, German, Polish, Russian"
Luxembourg,"French, German, Luxermbourgish"
"Macedonia, former Yugoslav Republic of","Albanian, Macedonian, Turkish"
Madagascar,"French, Malagasy"
Malawi,"Chichewa, English"
Malaysia,"Chinese, English, Malay, Tamil"
Maldives,"Arabic, Dhivehi, English, Hindi"
Mali,"African Languages, French"
Malta,"English, Maltese"
Marshall Islands,"English, Marshallese"
Mauritania,"Arabic, French, Wolof"
Mauritius,"Bojpoori, Creole, English, French, Hakka, Hindi, Urdu"
Mexico,"Spanish"
"Liberia","English"
"Libya: Arabic, Italian, English","Arabic, English, Italian"
Micronesia,"Chukese, English, Kosrean, Pohnpeian, Yapase"
Moldova,"Gagauz, Moldovan, Romanian, Russian, Turkish"
Monaco,"English, French, Italian, Monégasque"
Mongolia,"Chinese, Mongolian, Russian, Turkic"
Montenegro,"Montenegrin, Serbian"
Morocco,"Arabic, Berber Dialects, French, Spanish"
Mozambique,"Bantu Languages, Portuguese"
Myanmar,"Chin, Karen, Rohingya, The Myanmar Language"
Namibia,"Afrikaans, English, German"
Nauru,"English, Nauruan"
Morocco,"Arabic, Berber Dialects, French, Spanish"
Nepal:,", Bhojpuri, Maithali, Nepali, Newar, Tamang, Tharu"
The Netherlands,"Dutch, Frisian"
New Zealand,"English, Maori Nicaragua: Spanish"
Niger,"Arabic, French, Hausa, Songhai"
Nigeria,"English, Hausa, Ibo, Yoruba"
Norway,"Bokmål, Nynorsk, Norwegian"
Oman,"Arabic, English, Indian Languages"
Pakistan,"Balochi, Brahui, Burushaski, English, Hindko, Pashtu, Punjabi, Sindhi, Siraiki (Punjabi Variant), Urdu"
Palau,Palau
Palestinian territories,"Arabic, English, French, Hebrew"
Papua New Guinea:,", English, Hiri Motu, Tok Pisin"
Nepal,"Bhojpuri, Maithali, Nepali, Newar, Tamang, Tharu"
Paraguay,"Guaraní, Spanish"
Peru,"Aymara, Quéchua, Spanish"
The Philippines,"Cebuano, English, Filipino, Ilocano, Tagalog"
Poland,Polish
Portugal,Portuguese
Qatar,"Arabic, English"
Romania,"German, Hungarian, Romanian"
Russia,Russian
Rwanda,"English, French, Kinyarwanda"
Paraguay,"Guaraní, Spanish"
Poland,Polish
St. Kitts and Nevis,English
St. Lucia,"English, Patois"
St. Vincent/the Grenadines:,"English, French Patois"
Samoa,"English, Samoan"
San Marino,Italian
São Tomé and Príncipe,Portuguese
Saudi Arabia,"Arabic, English"
Senegal,"French, Serer, Wolof"
Serbia,"Albanian, Serbian, Latin"
Seychelles,"English, French, Seselwa"
Sierra Leone,"English, Krio, Mende, Temne"
Singapore,"Chinese, English, Malay, Tamil"
Slovakia,"Hungarian, Slovak"
Slovenia,"Serbo-Croatian, Slovenian"
Solomon Islands,"English, Solomon Pijin"
Somalia,"Arabic, English, Italian, Somali"
South Africa,"Afrikaans, English, Ndebele, Sesotho, Sesotho Sa Leboa, Setswana, Swati, Tshivenda, Xhosa, Xitsonga, Zulu"
South Sudan,"Arabic, Dinka, English, Nuer, Zande"
Spain,"Basque Sri Lanka: Sinhala, Spanish, Catalan, English, Galician, Tamil"
Sudan,"Arabic, Dinka, English"
Suriname,"Dutch, English Widely Spoken, Surinamese (Lingua Franca)"
Swaziland,"English, Swazi"
Sweden,Swedish
Switzerland,"French, German, Italian, Romansch"
